Company,SFR,Payload (kg),Launch Cost ($M),Price ($/kg),Funding ($M),Launch Class,Orbit Altitude,Tech Type,Country,HQ Location,Description,Funding_Type,Funding_num,Country_Grouped,LC_Heavy,LC_Medium,LC_Small,LC_Tourism,OA_LEO,OA_Lunar,OA_Suborbital,TT_Balloon,TT_Other,TT_Plane,TT_Rocket,TT_Spaceplane,Funding_Missing
Dark,1,200,5.0,25000,,Small,LEO,"Plane, Rocket",France,,"Making access to space widely available, less constrained and more efficient",Unknown,13.844999999999999,France,0,0,1,0,1,0,0,0,0,1,1,0,1
TiSPACE,3,390,0.0,0,,Small,LEO,Rocket,Taiwan,Chunan,"Developing a cost-effective space launch system using cutting-edge, non-explosive hybrid rocket technologies",Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,0,1,0,1
Space Engine Systems,4,5500,0.0,0,22.00,Medium,LEO,Spaceplane,Canada,"Edmonton, Alberta","Designing a reusable, single-stage-to-orbit cruise vehicle",Private (reported),22.0,Other,0,1,0,0,1,0,0,0,0,0,0,1,0
Skyroot Aerospace,5,720,0.0,0,68.00,Small,LEO,Rocket,India,"Hyderabad, Telangana","Building technologies for responsive, reliable and economic access to space",Private (reported),68.0,India,0,0,1,0,1,0,0,0,0,0,1,0,0
Celestia Aerospace,2,16,0.2,12500,,Small,LEO,"Plane, Rocket",Spain,Barcelona,Personalized engineering support and dedicated airborne orbital launch platform,Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,1,1,0,1
Wave Motion Launch,2,45360,0.0,0,,Heavy,LEO,Other,United States,"Seattle, WA",Building a space launch system for sending hardened satellites and bulk cargo into space,Unknown,13.844999999999999,United States,1,0,0,0,1,0,0,0,1,0,0,0,1
Green Launch,4,5,0.0,0,0.50,Small,LEO,Other,United States,"Edmond, OK",Green Launch is a technology created to revolutionize and expand our access to space,Private (reported),0.5,United States,0,0,1,0,1,0,0,0,1,0,0,0,0
Gilmour Space,6,215,7.0,32558,66.00,Small,LEO,Rocket,Australia,"Pimpama, Queensland",Developing the ERIS launch vehicles to provide reliable and cost-effective access to space,Private (reported),66.0,Other,0,0,1,0,1,0,0,0,0,0,1,0,0
Orbspace,0,0,0.0,0,,Tourism,Suborbital,Rocket,Japan,"Tsukuba, Ibaraki","Developing Infinity, a small reusable rocket",Unknown,13.844999999999999,Other,0,0,0,1,0,0,1,0,0,0,1,0,1
Earth to Sky,4,600,4.5,7500,5.25,Small,LEO,Rocket,United States,"Huntsville, AL",Providing launch services to LEO at an affordable cost,Private (reported),5.25,United States,0,0,1,0,1,0,0,0,0,0,1,0,0
Hypersonix,4,150,0.0,0,,Small,LEO,"Rocket, Other",Australia,"Sydney, New South Wales",Bringing increased efficiency and flexibility to space launch through the use of cutting edge aerodynamic technology,Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,1,0,1,0,1
Isar Aerospace Technologies,6,1000,10.0,10000,180.00,Small,LEO,Rocket,Germany,Ottobrun,Lowering the entry barriers to space and making space access affordable and sustainable,Private (reported),180.0,Other,0,0,1,0,1,0,0,0,0,0,1,0,0
UP Aerospace,9,36,0.0,0,0.72,Small,Suborbital,Rocket,United States,"Highlands Ranch, CO",UP Aerospace is a suborbital space launch and flight test service provider,Private (reported),0.72,United States,0,0,1,0,0,0,1,0,0,0,1,0,0
Equatorial Space Systems,5,350,0.0,0,0.75,Small,LEO,Rocket,United States,"Albuquerque, NM","Developing Volanis, a series of hybrid small-launch vehicles operated from an ocean platform",Private (reported),0.75,United States,0,0,1,0,1,0,0,0,0,0,1,0,0
Independence-X Aerospace,2,200,4.5,22500,,Small,LEO,Rocket,Malaysia,Kuala Lumpur,Aiming to innovate space exploration technologies to deliver efficient and cost effective solutions for humanity,Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,0,1,0,1
Bagaveev,3,10,0.25,25000,0.96,Small,LEO,Rocket,United States,"Half Moon Bay, CA",Dedicated nanosatellite launch provider,Private (reported),0.96,United States,0,0,1,0,1,0,0,0,0,0,1,0,0
OmSpace Rocket and Exploration,2,0,0.0,0,,Small,LEO,Rocket,India,"Bharuch, Gujarat",Building a reusable small launch vehicle,Unknown,13.844999999999999,India,0,0,1,0,1,0,0,0,0,0,1,0,1
Promin Aerospace,3,0,0.2,0,0.50,Small,LEO,Rocket,Ukraine,Kiev,Developing a unique ultralight rocket platform,Private (reported),0.5,Other,0,0,1,0,1,0,0,0,0,0,1,0,0
Smallspark Space Systems,3,400,8.1,20250,0.23,Small,LEO,Rocket,United Kingdom,"Cardiff, Wales","Developing vertical launch systems to provide the ability for the United Kingdom to effectively, reliably and affordably deliver satellites into orbit from the planned major UK vertical launch spaceports",Private (reported),0.23,United Kingdom,0,0,1,0,1,0,0,0,0,0,1,0,0
Space Perspective*,6,0,0.0,0,65.00,Tourism,Suborbital,Balloon,United States,"Kennedy Space Center, FL",The off-world travel company,Private (reported),65.0,United States,0,0,0,1,0,0,1,1,0,0,0,0,0
CloudIX,2,22,0.0,0,,Small,LEO,"Balloon, Rocket",United States,"Hayward, CA",Ultra low-cost rockets and satellite deployment,Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,1,0,0,1,0,1
Interorbital Systems,3,40,0.5,12500,,Small,LEO,Rocket,United States,"Mojave, CA","A rocket, satellite, and spacecraft manufacturing company.",Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,0,1,0,1
Space Pioneer,4,0,0.0,0,100.00,"Medium, Heavy",LEO,Rocket,China,,"Developing reusable, medium and heavy orbital launch vehicles",Private (reported),100.0,China,1,1,0,0,1,0,0,0,0,0,1,0,0
New Ascent,1,0,0.0,0,0.11,,,Other,United States,"Annapolis, MD",Redefining launch from the ground up,Private (reported),0.11,United States,0,0,0,0,0,0,0,0,1,0,0,0,0
Black Sky Aerospace,9,350,0.6,1714,,Small,Suborbital,Rocket,Australia,"Browns Plains, Queensland","Offers a range of sounding rockets, capable of flights up to 300km in multistage configurations",Unknown,13.844999999999999,Other,0,0,1,0,0,0,1,0,0,0,1,0,1
Odyne Space,2,150,0.0,0,,Small,LEO,Rocket,United States,"Portland, OR",Cheaper access to space for nanosatellite payloads,Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,0,1,0,1
Launcher,5,773,10.0,12937,14.90,Small,LEO,Rocket,United States,"Hawthorne, CA",A team on a 10-year journey to deliver small satellites to orbit.,Private (reported),14.9,United States,0,0,1,0,1,0,0,0,0,0,1,0,0
Halo Aerospace,0,0,0.0,0,,,Suborbital,"Balloon, Rocket",United States,"West Palm Beach, FL",Providing launch services via HABs and sounding rockets,Unknown,13.844999999999999,United States,0,0,0,0,0,0,1,1,0,0,1,0,1
HyperMach Aerospace Holdings,1,45360,0.0,0,,Heavy,LEO,Spaceplane,United States,"Los Angeles, CA",Designing a single stage to orbit hypersonic vehicle of revolutionary design and propulsion capability,Unknown,13.844999999999999,United States,1,0,0,0,1,0,0,0,0,0,0,1,1
X-Bow Launch Systems,4,0,0.0,0,,Small,LEO,Rocket,United States,"Huntsville, AL",Dedicated to providing affordable access to orbit for commercial and government payloads,Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,0,1,0,1
Stratobooster,1,0,0.0,0,,Small,LEO,"Balloon, Rocket",United Kingdom,"Middlesbrough, England",Launching small satellites into space using high altitude balloons,Unknown,13.844999999999999,United Kingdom,0,0,1,0,1,0,0,1,0,0,1,0,1
Dawn Aerospace,6,100,0.0,0,4.54,Small,LEO,Spaceplane,Netherlands,Delft,Developing scalable and sustainable space transportation technology to become the backbone of the near space economy,Private (reported),4.54,Other,0,0,1,0,1,0,0,0,0,0,0,1,0
Seres Space Exploration Technology,1,20000,0.0,0,,Heavy,LEO,Rocket,China,Beijing,Developing a reusable launch vehicle named ‘Tianmeng’,Unknown,13.844999999999999,China,1,0,0,0,1,0,0,0,0,0,1,0,1
Pyramid Exploration Technologies,0,0,0.0,0,,Small,LEO,Rocket,South Africa,Polokwane,"Developing high-performance, low carbon micro launch vehicles",Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,0,1,0,1
Astraius,2,800,0.0,0,,Small,LEO,"Plane, Rocket",United Kingdom,"London, England",Developing the UK’s first commercially operated horizontal launch company for small to medium size satellites,Unknown,13.844999999999999,United Kingdom,0,0,1,0,1,0,0,0,0,1,1,0,1
Space Vector,4,0,0.0,0,,Small,LEO,Rocket,United States,"Chatsworth, CA",Space Vector has launched 37 vehicles to date with program turnaround times as short as 8 months,Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,0,1,0,1
Skyrora,6,500,12.6,25200,4.85,Small,LEO,Rocket,United Kingdom,"Edinburgh, Scotland",Cost effective small satellite launch services from the United Kingdom,Private (reported),4.85,United Kingdom,0,0,1,0,1,0,0,0,0,0,1,0,0
HyPrSpace,2,250,0.0,0,,Small,LEO,Rocket,France,Le Haillan,Developing a fleet of hybrid rockets for micro launch,Unknown,13.844999999999999,France,0,0,1,0,1,0,0,0,0,0,1,0,1
Landspace,7,4000,0.0,0,361.30,"Small, Medium",LEO,Rocket,China,Beijing,Commercial launch vehicle manufacturer and space launch provider in China,Private (reported),361.3,China,0,1,1,0,1,0,0,0,0,0,1,0,0
Sirius Space Services,3,800,0.0,0,,Small,LEO,Rocket,France,Puteaux,"Developing a range of sustainable, reusable launchers dedicated to the launch of small satellites",Unknown,13.844999999999999,France,0,0,1,0,1,0,0,0,0,0,1,0,1
EOS-X,2,0,0.0,0,,Tourism,Suborbital,Balloon,Spain,Madrid,Revolutionizing near space tourism and opening it to a greater audience,Unknown,13.844999999999999,Other,0,0,0,1,0,0,1,1,0,0,0,0,1
Venture Orbital Systems,3,80,0.0,0,0.91,Small,LEO,Rocket,France,Paris,"Developing a reactive, reliable and cost-efficient nano-launcher",Private (reported),0.91,France,0,0,1,0,1,0,0,0,0,0,1,0,0
United Launch Alliance,9,17800,99.0,5562,Joint Venture,"Medium, Heavy",LEO,Rocket,United States,"Centennial, CO","A joint venture between Lockheed Martin and Boeing, ULA produces the Vulcan, Atlas and Delta Launch Vehicle Families",Joint Venture,13.844999999999999,United States,1,1,0,0,1,0,0,0,0,0,1,0,1
SpaceLoon,0,0,0.0,0,,Small,Suborbital,Balloon,United States,"Miami, FL",Building a ballooning platform to offer novel access to the mesosphere,Unknown,13.844999999999999,United States,0,0,1,0,0,0,1,1,0,0,0,0,1
Velontra,2,0,0.0,0,,,LEO,Spaceplane,United States,"Cincinnati, OH",Building a hypersonic space plane that can takeoff from anywhere in any weather,Unknown,13.844999999999999,United States,0,0,0,0,1,0,0,0,0,0,0,1,1
Northrop Grumman,9,8000,80.0,10000,Public,"Small, Medium",LEO,Rocket,United States,"Falls Church, VA","Designs, manufactures, and operates launch vehicles, propulsion systems, and satellites and related components",Public,13.844999999999999,United States,0,1,1,0,1,0,0,0,0,0,1,0,1
Deep Blue Aerospace,6,4500,0.0,0,45.60,"Small, Medium",LEO,Rocket,China,Beijing,Committed to reducing the cost of entering space via reusable launch products,Private (reported),45.6,China,0,1,1,0,1,0,0,0,0,0,1,0,0
Exodus Space Corp,3,1200,0.0,0,0.30,Small,LEO,Spaceplane,United States,"Denver, CO",Developing the Horizontal Takeoff Horizontal Landing (HTHL) AstroClipper for the future of commercial space transportation,Private (reported),0.3,United States,0,0,1,0,1,0,0,0,0,0,0,1,0
CNIM Air Space,9,2700,0.0,0,Public,"Small, Medium",Suborbital,Balloon,France,Ayguesvives,Balloons that lift anything from a few kilograms to several tons and are able to operate at an altitude as low as a few hundred metres or as high as 40 km,Public,13.844999999999999,France,0,1,1,0,0,0,1,1,0,0,0,0,1
Masten Space Systems,6,200,0.0,0,,Small,Suborbital,Rocket,United States,"Mojave, CA",Buildig the Xogdor rocket to test payloads at supersonic speeds and at the edge of space,Unknown,13.844999999999999,United States,0,0,1,0,0,0,1,0,0,0,1,0,1
LongShot*,3,0,0.0,0,,Small,LEO,Other,United States,,Developing a non-traditional hypervelocity launch system,Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,1,0,0,0,1
